Date,Open,High,Low,Close
4/28/2014,0.000000,3.278565,-0.035721,3.041428
4/29/2014,0.000000,0.319999,-0.604286,-0.201432
4/30/2014,0.000000,0.970001,-0.405716,-0.364288
5/1/2014,0.000000,0.400002,-0.805709,-0.074279
5/2/2014,0.000000,0.265709,-0.375717,0.034286
5/5/2014,0.000000,1.551423,-0.020004,1.545708
5/6/2014,0.000000,0.372856,-1.055710,-1.055710
5/7/2014,0.000000,0.291428,-1.074287,-0.417145
5/8/2014,0.000000,0.880005,-0.264282,-0.037140
5/9/2014,0.000000,0.244286,-0.601425,0.142861
5/12/2014,0.000000,0.881432,-0.012855,0.762863
5/13/2014,0.000000,0.362862,-0.185714,0.251435
5/14/2014,0.000000,0.709999,-0.098572,0.205712
5/15/2014,0.000000,0.271423,-0.951432,-0.840004
5/16/2014,0.000000,1.271431,-0.461425,1.268578
5/19/2014,0.000000,1.354286,-0.074288,0.962860
5/20/2014,0.000000,0.269997,-0.540001,0.028572
5/21/2014,0.000000,0.409996,-0.252861,0.354286
5/22/2014,0.000000,0.464286,-0.357140,0.095710
5/23/2014,0.000000,1.068573,-0.111427,0.982857
5/27/2014,0.000000,1.425712,-0.035713,1.392860
5/28/2014,0.000000,0.544289,-0.320000,-0.287140
5/29/2014,0.000000,1.288574,-0.011429,1.075714
5/30/2014,0.000000,0.884285,-1.297142,-0.711425
6/2/2014,0.000000,0.124290,-1.637138,-0.758568
6/3/2014,0.000000,1.468574,-0.029999,1.297142
6/4/2014,0.000000,1.492858,-0.190003,1.054283
6/5/2014,0.000000,0.452858,-0.512855,0.164284
6/6/2014,0.000000,0.194283,-0.775711,-0.618568
6/9/2014,0.000000,1.180000,-0.949997,1.000000
6/10/2014,0.000000,0.320000,-1.160003,-0.480003
6/11/2014,0.000000,0.630005,-0.659996,-0.269996
6/12/2014,0.000000,0.080002,-2.139999,-1.750000
6/13/2014,0.000000,0.240005,-1.320000,-0.919998
6/16/2014,0.000000,1.239998,-0.060005,0.689995
6/17/2014,0.000000,0.389999,-0.509995,-0.229996
6/18/2014,0.000000,0.020004,-0.919999,-0.089997
6/19/2014,0.000000,0.010002,-0.950005,-0.430000
6/20/2014,0.000000,0.700005,-0.949996,-0.939994
6/23/2014,0.000000,0.300003,-0.720002,-0.489998
6/24/2014,0.000000,0.989998,-0.559998,-0.470001
6/25/2014,0.000000,0.489998,-0.559997,0.150002
6/26/2014,0.000000,0.680000,-0.570000,0.529999
6/27/2014,0.000000,1.180000,-0.050003,1.160003
6/30/2014,0.000000,1.630005,-0.010002,0.830002
7/1/2014,0.000000,0.550003,-0.390000,0.000000
7/2/2014,0.000000,0.189995,-0.780007,-0.390000
7/3/2014,0.000000,0.430000,-0.470001,0.360001
7/7/2014,0.000000,1.849999,-0.040001,1.830002
7/8/2014,0.000000,0.530006,-2.349999,-0.919999
7/9/2014,0.000000,0.509995,-0.680000,-0.050003
7/10/2014,0.000000,1.790001,-0.240005,1.279999
7/11/2014,0.000000,0.529998,-0.500000,-0.140000
7/14/2014,0.000000,1.029998,-0.209999,0.589996
7/15/2014,0.000000,0.049995,-1.770004,-1.480003
7/16/2014,0.000000,0.129997,-2.230003,-2.190002
7/17/2014,0.000000,0.250000,-2.459999,-1.940003
7/18/2014,0.000000,1.119995,-0.600006,0.809997
7/21/2014,0.000000,0.010002,-1.269997,-1.049996
7/22/2014,0.000000,0.209999,-0.559997,0.040001
7/23/2014,0.000000,2.459999,-0.250000,1.770004
7/24/2014,0.000000,0.279999,-0.620003,-0.010002
7/25/2014,0.000000,0.989998,-0.209999,0.820000
7/28/2014,0.000000,1.419998,-0.269997,1.199997
7/29/2014,0.000000,0.110000,-1.080002,-0.950005
7/30/2014,0.000000,0.259995,-0.770004,-0.290000
7/31/2014,0.000000,0.289993,-1.830002,-1.560006
8/1/2014,0.000000,1.720001,-0.090004,1.229995
8/4/2014,0.000000,0.209999,-1.200005,-0.780007
8/5/2014,0.000000,0.319999,-1.000000,-0.239998
8/6/2014,0.000000,0.730003,-0.040001,0.209999
8/7/2014,0.000000,1.019997,-0.830002,-0.449997
8/8/2014,0.000000,0.559998,-0.980003,0.479996
8/11/2014,0.000000,0.810005,-0.430001,0.720001
8/12/2014,0.000000,0.839996,-0.430000,-0.070000
8/13/2014,0.000000,1.089996,-0.110001,1.089996
8/14/2014,0.000000,0.239998,-0.529999,0.169998
8/15/2014,0.000000,0.290000,-1.040001,0.080001
8/18/2014,0.000000,0.880005,-0.509995,0.670006
8/19/2014,0.000000,1.269996,-0.090004,1.119995
8/20/2014,0.000000,0.649994,-0.490005,0.129998
8/21/2014,0.000000,0.370002,-0.459999,0.010002
8/22/2014,0.000000,1.180000,-0.099999,1.029999
8/25/2014,0.000000,0.379997,-0.510002,-0.250000
8/26/2014,0.000000,0.080002,-0.559997,-0.529999
8/27/2014,0.000000,1.550003,-0.320000,1.110000
8/28/2014,0.000000,1.190003,-0.029998,0.660004
8/29/2014,0.000000,0.040001,-0.660004,-0.360001
9/2/2014,0.000000,0.680000,-0.339997,0.240005
9/3/2014,0.000000,0.099999,-4.519996,-4.159996
9/4/2014,0.000000,1.239998,-1.059997,-0.729995
9/5/2014,0.000000,0.589996,-0.490005,0.169998
9/8/2014,0.000000,0.009995,-1.250000,-0.940002
9/9/2014,0.000000,4.000000,-2.940003,-1.090004
9/10/2014,0.000000,3.099999,-0.250000,2.989998
9/11/2014,0.000000,1.029998,-0.790001,1.019996
9/12/2014,0.000000,0.980003,-0.129997,0.450005
9/15/2014,0.000000,0.240005,-1.369996,-1.180001
9/16/2014,0.000000,1.459999,-0.910004,1.059998
9/17/2014,0.000000,0.530006,-0.680001,0.310005
9/18/2014,0.000000,0.419998,-0.370002,-0.139999
9/19/2014,0.000000,0.059997,-1.790001,-1.330002
9/22/2014,0.000000,0.339996,-1.220001,-0.740005
9/23/2014,0.000000,2.340004,-0.059997,2.040001
9/24/2014,0.000000,0.689994,-0.960007,-0.410004
9/25/2014,0.000000,0.199997,-2.790001,-2.639999
