Date,Open,High,Low,Close,Open_diff
12/26/2013,1.000000,1.002464,0.991692,0.992607,1.000758
12/27/2013,1.000000,1.001046,0.992338,0.993384,0.999858
12/30/2013,1.000000,1.004718,0.990780,0.994726,0.995304
12/31/2013,1.000000,1.012830,0.999693,1.012361,0.999369
1/2/2014,1.000000,1.002429,0.993413,0.995411,0.990482
1/3/2014,1.000000,1.001519,0.977517,0.978512,0.999512
1/6/2014,1.000000,1.017397,0.992837,1.012057,0.993475
1/7/2014,1.000000,1.003013,0.988242,0.992137,1.000717
1/8/2014,1.000000,1.012528,0.999777,1.008630,0.997722
1/9/2014,1.000000,1.000110,0.979060,0.981200,1.006146
1/10/2014,1.000000,1.001797,0.983847,0.987237,1.006169
1/13/2014,1.000000,1.023759,0.999943,1.010983,0.994315
1/14/2014,1.000000,1.015811,0.998960,1.015180,1.004648
1/15/2014,1.000000,1.012068,0.996640,1.006937,1.013049
1/16/2014,1.000000,1.003514,0.994197,0.998829,0.995586
1/17/2014,1.000000,1.001070,0.979002,0.980398,0.995002
1/21/2014,1.000000,1.016784,0.998946,1.014936,1.000592
1/22/2014,1.000000,1.011581,0.994373,1.001089,1.003351
1/23/2014,1.000000,1.011929,0.990672,1.011347,0.997153
1/24/2014,1.000000,1.002924,0.983303,0.985686,0.996080
1/27/2014,1.000000,1.008599,0.992146,1.000782,1.007325
1/28/2014,1.000000,1.012265,0.986850,0.995558,0.924178
1/29/2014,1.000000,1.006786,0.989424,0.993650,0.994966
1/30/2014,1.000000,1.007880,0.988379,0.994508,1.003575
1/31/2014,1.000000,1.012824,0.996708,1.010945,0.990796
2/3/2014,1.000000,1.010187,0.993414,0.997851,1.004015
2/4/2014,1.000000,1.007137,0.993892,1.005812,1.008614
2/5/2014,1.000000,1.017214,0.999388,1.011904,0.995617
2/6/2014,1.000000,1.006744,0.995589,1.004803,0.995064
2/7/2014,1.000000,1.002973,0.992328,0.996739,1.017307
2/10/2014,1.000000,1.025701,0.998728,1.019917,0.998037
2/11/2014,1.000000,1.013456,0.997908,1.010083,1.003062
2/12/2014,1.000000,1.004861,0.993091,0.998082,1.001847
2/13/2014,1.000000,1.019059,0.999140,1.018273,0.997649
2/14/2014,1.000000,1.006470,0.997677,1.002802,0.996400
2/18/2014,1.000000,1.009506,0.999286,0.999982,1.003695
2/19/2014,1.000000,1.003928,0.980909,0.986453,0.997729
2/20/2014,1.000000,1.007524,0.992514,0.996548,0.991849
2/21/2014,1.000000,1.003341,0.984628,0.985848,1.003088
2/24/2014,1.000000,1.012941,0.998605,1.008411,0.996002
2/25/2014,1.000000,1.000359,0.984170,0.986172,1.003469
2/26/2014,1.000000,1.002655,0.984702,0.988045,1.002969
2/27/2014,1.000000,1.022508,0.997892,1.020362,0.999594
2/28/2014,1.000000,1.006937,0.986845,0.994632,1.002672
3/3/2014,1.000000,1.013813,0.998835,1.008292,0.994641
3/4/2014,1.000000,1.003089,0.993917,1.000452,1.006139
3/5/2014,1.000000,1.007214,0.996628,1.002712,0.999398
3/6/2014,1.000000,1.003097,0.991197,0.996171,1.000808
3/7/2014,1.000000,1.001676,0.990510,0.998776,1.000641
3/10/2014,1.000000,1.009406,0.999962,1.004845,0.996079
3/11/2014,1.000000,1.006144,0.994659,1.001195,1.008532
3/12/2014,1.000000,1.005313,0.995304,1.003929,0.997053
3/13/2014,1.000000,1.004131,0.984594,0.987366,1.001547
3/14/2014,1.000000,1.003971,0.989050,0.992246,0.996495
3/17/2014,1.000000,1.004302,0.996494,0.998181,1.005737
3/18/2014,1.000000,1.011542,0.998669,1.010458,0.998405
3/19/2014,1.000000,1.007478,0.993875,0.998121,1.001618
3/20/2014,1.000000,1.005246,0.995207,0.997754,0.997421
3/21/2014,1.000000,1.003422,0.989472,1.001767,1.006109
3/24/2014,1.000000,1.003863,0.993759,1.001430,1.010415
3/25/2014,1.000000,1.007849,0.996473,1.006445,1.004284
3/26/2014,1.000000,1.004538,0.985984,0.987667,1.002807
3/27/2014,1.000000,1.002741,0.990926,0.995259,1.000445
3/28/2014,1.000000,1.001152,0.992439,0.997288,1.001600
3/31/2014,1.000000,1.002930,0.993880,0.995382,1.004415
4/1/2014,1.000000,1.007643,0.998159,1.007234,1.001900
4/2/2014,1.000000,1.002028,0.996091,1.000313,1.001348
4/3/2014,1.000000,1.002050,0.993073,0.995198,0.997862
4/4/2014,1.000000,1.000352,0.982901,0.985199,1.001893
4/7/2014,1.000000,1.005454,0.988391,0.991383,0.992855
4/8/2014,1.000000,1.001771,0.987643,0.996668,1.003286
4/9/2014,1.000000,1.015020,0.998814,1.014695,0.998472
4/10/2014,1.000000,1.002940,0.985848,0.986432,1.000679
4/11/2014,1.000000,1.007380,0.996416,1.001175,0.991442
4/14/2014,1.000000,1.000498,0.991014,0.999578,1.004407
4/15/2014,1.000000,1.002633,0.982817,0.995560,0.997297
4/16/2014,1.000000,1.005868,0.992452,1.001853,1.000174
4/17/2014,1.000000,1.014923,0.998462,1.009500,1.001907
4/21/2014,1.000000,1.012944,0.997373,1.011098,1.000762
